,Área de salud,parentLocationId,dasID,Distrito de salud,dmsID
0,alta verapaz,16,220,chahal,220161457
1,alta verapaz,16,220,chisec,220161356
2,alta verapaz,16,220,coban,220160142
3,alta verapaz,16,220,coban,220160141
4,alta verapaz,16,220,fray bartolome de las casas,220161558
5,alta verapaz,16,220,panzos,220160748
6,alta verapaz,16,220,teleman,220160749
7,alta verapaz,16,220,raxruha,220161760
8,alta verapaz,16,220,lanquin,220161154
9,alta verapaz,16,220,san cristobal verapaz,220160344
10,alta verapaz,16,220,san juan chamelco,220161053
11,alta verapaz,16,220,tucuru,220160647
12,alta verapaz,16,220,campur,220160951
13,alta verapaz,16,220,carcha,220160952
14,alta verapaz,16,220,la tinta,220161659
15,alta verapaz,16,220,santa cruz,220160243
16,alta verapaz,16,220,cahabon,220161255
17,alta verapaz,16,220,senahu,220160850
18,alta verapaz,16,220,tactic,220160445
19,alta verapaz,16,220,tamahu,220160546
20,chimaltenango,4,207,acatenango,207411147
21,chimaltenango,4,207,chimaltenango,207401136
22,chimaltenango,4,207,el tejar,207416152
23,chimaltenango,4,207,parramos,207414150
24,chimaltenango,4,207,patzicia,207409145
25,chimaltenango,4,207,patzun,207407143
26,chimaltenango,4,207,san andres itzapa,207413149
27,chimaltenango,4,207,san jose poaquil,207402137
28,chimaltenango,4,207,san juan comalapa,207404139
29,chimaltenango,4,207,numero 3 san martin jilotepeque,207403138
30,chimaltenango,4,207,san miguel pochuta,207408144
31,chimaltenango,4,207,san pedro yepocapa,207412148
32,chimaltenango,4,207,santa apolonia,207405140
33,chimaltenango,4,207,satna cruz balanya,207410146
34,chimaltenango,4,207,paquip tecpan,207406141
35,chimaltenango,4,207,tecpan,207406142
36,chimaltenango,4,207,zaragoza,207415151
37,chiquimula,20,224,camotan,224200593
38,chiquimula,20,224,chiquimula,224200189
39,chiquimula,20,224,concepcion las minas,224200896
40,chiquimula,20,224,esquipulas,224200795
41,chiquimula,20,224,ipala,224201199
